Method,Threshold,Pool,LeadTimeMin,TP,FN,FP,TN,CSI,POD,FAR
Baseline,74,16,50,194223,162132,33385,1211540,0.498340,0.545027,0.146678
Baseline,74,16,55,186161,167112,35608,1212399,0.478709,0.526961,0.160563
Baseline,74,16,60,178770,175435,37165,1209910,0.456780,0.504708,0.172112
Baseline,133,1,5,6928748,4388967,399948,398209856,0.591308,0.612204,0.054573
Baseline,133,1,10,5994843,5047625,552093,398333152,0.517039,0.542890,0.084328
Baseline,133,1,15,5213384,5712459,874428,398127264,0.441802,0.477161,0.143636
Baseline,133,1,20,4612002,6500047,938744,397876896,0.382714,0.415045,0.169120
Baseline,133,1,25,4100173,7036341,910976,397880224,0.340334,0.368174,0.181790
Baseline,133,1,30,3472158,7548628,898898,398008000,0.291296,0.315055,0.205648
Baseline,133,1,35,3077407,7968847,644667,398236704,0.263231,0.278593,0.173201
Baseline,133,1,40,2312698,8618368,1004951,397991584,0.193758,0.211571,0.302911
Baseline,133,1,45,1448902,9607520,1444439,397426816,0.115904,0.131046,0.499229
Baseline,133,1,50,1174850,9691245,1418166,397643360,0.095639,0.108121,0.546918
Baseline,133,1,55,1054688,9006778,1295805,398570304,0.092865,0.104824,0.551291
Baseline,133,1,60,1003464,9098657,1233765,398591840,0.088521,0.099332,0.551470
Baseline,133,4,5,601832,460491,18195,24539964,0.556985,0.566524,0.029345
Baseline,133,4,10,499828,548391,26140,24546132,0.465234,0.476835,0.049699
Baseline,133,4,15,427916,614424,47680,24530446,0.392576,0.410534,0.100253
Baseline,133,4,20,377354,676757,55688,24510680,0.340020,0.357983,0.128597
Baseline,133,4,25,334216,722372,58077,24505826,0.299835,0.316316,0.148045
Baseline,133,4,30,282296,769286,61161,24507732,0.253694,0.268449,0.178075
Baseline,133,4,35,244629,811027,47408,24517424,0.221772,0.231732,0.162336
Baseline,133,4,40,186564,861984,70888,24501034,0.166659,0.177926,0.275345
Baseline,133,4,45,119988,937700,98261,24464532,0.103800,0.113444,0.450224
Baseline,133,4,50,92638,954277,94677,24478892,0.081148,0.088487,0.505443
Baseline,133,4,55,76703,921730,85891,24536148,0.070738,0.076823,0.528254
Baseline,133,4,60,68652,932852,81479,24537508,0.063392,0.068549,0.542719
Baseline,133,16,5,85360,62737,1024,1452159,0.572421,0.576379,0.011854
Baseline,133,16,10,65990,81653,1181,1452456,0.443410,0.446957,0.017582
Baseline,133,16,15,54315,93291,2335,1451339,0.362242,0.367973,0.041218
Baseline,133,16,20,47024,101799,2735,1449722,0.310271,0.315973,0.054965
Baseline,133,16,25,40929,108013,2990,1449348,0.269390,0.274798,0.068080
Baseline,133,16,30,34278,114955,3412,1448635,0.224560,0.229695,0.090528
Baseline,133,16,35,28970,120733,2761,1448816,0.190012,0.193516,0.087013
Baseline,133,16,40,22805,126055,4429,1447991,0.148771,0.153198,0.162628
Baseline,133,16,45,15749,133554,6299,1445678,0.101213,0.105483,0.285695
Baseline,133,16,50,11470,137903,6084,1445823,0.073782,0.076788,0.346588
Baseline,133,16,55,8137,138607,5552,1448984,0.053429,0.055450,0.405581
Baseline,133,16,60,6291,140769,5176,1449044,0.041324,0.042778,0.451382
Baseline,160,1,5,3682729,2052698,85391,404106880,0.632682,0.642102,0.022661
Baseline,160,1,10,3326501,2090842,115786,404394560,0.601197,0.614047,0.033636
Baseline,160,1,15,2955985,2316946,258918,404395776,0.534357,0.560596,0.080537
Baseline,160,1,20,2717807,2710571,257080,404242048,0.478028,0.500666,0.086417
Baseline,160,1,25,2521671,2908755,201831,404295264,0.447719,0.464360,0.074107
Baseline,160,1,30,1936117,3361054,189504,404440800,0.352876,0.365500,0.089152
Baseline,160,1,35,1737884,3573156,157444,404459136,0.317800,0.327221,0.083070
Baseline,160,1,40,1306849,3844807,498289,404277632,0.231303,0.253676,0.276039
Baseline,160,1,45,1011338,4217670,698017,404000608,0.170632,0.193409,0.408351
Baseline,160,1,50,937554,4055652,377078,404557440,0.174582,0.187766,0.286832
Baseline,160,1,55,935667,3229577,301911,405460480,0.209455,0.224637,0.243953
Baseline,160,1,60,931442,3251980,291093,405453024,0.208166,0.222651,0.238106
Baseline,160,4,5,290810,234139,4606,25090928,0.549159,0.553978,0.015592
Baseline,160,4,10,247707,258652,6369,25107766,0.483116,0.489192,0.025067
Baseline,160,4,15,213287,283645,16387,25107172,0.415506,0.429208,0.071349
Baseline,160,4,20,191099,315087,17104,25097196,0.365188,0.377527,0.082151
Baseline,160,4,25,172061,333711,14471,25100222,0.330732,0.340195,0.077579
Baseline,160,4,30,131334,366107,13135,25109900,0.257227,0.264019,0.090919
Baseline,160,4,35,114240,384332,10310,25111596,0.224492,0.229134,0.082778
Baseline,160,4,40,84425,405579,32296,25098174,0.161641,0.172295,0.276694
Baseline,160,4,45,64667,430485,45862,25079464,0.119529,0.130600,0.414932
Baseline,160,4,50,59789,421102,24577,25115004,0.118284,0.124330,0.291314
Baseline,160,4,55,59793,369091,19402,25172200,0.133381,0.139415,0.244990
Baseline,160,4,60,59692,370790,18454,25171548,0.132963,0.138663,0.236148
Baseline,160,16,5,38712,42031,351,1520186,0.477372,0.479447,0.008985
Baseline,160,16,10,28782,50932,438,1521128,0.359093,0.361066,0.014990
Baseline,160,16,15,22657,56488,1119,1521016,0.282281,0.286272,0.047064
Baseline,160,16,20,18858,60987,1200,1520235,0.232686,0.236183,0.059827
Baseline,160,16,25,15425,64374,1056,1520425,0.190774,0.193298,0.064074
Baseline,160,16,30,11075,68168,922,1521115,0.138153,0.139760,0.076853
Baseline,160,16,35,8738,70475,660,1521407,0.109399,0.110310,0.070228
Baseline,160,16,40,6020,72767,2120,1520373,0.074406,0.076409,0.260442
Baseline,160,16,45,4287,74908,3046,1519039,0.052127,0.054132,0.415383
Baseline,160,16,50,3900,74696,1664,1521020,0.048592,0.049621,0.299065
Baseline,160,16,55,3891,71754,1243,1524392,0.050606,0.051438,0.242111
Baseline,160,16,60,3892,71832,1136,1524420,0.050638,0.051397,0.225935
Baseline,181,1,5,2890338,1283186,23171,405730880,0.688718,0.692541,0.007953
Baseline,181,1,10,2724043,1117492,37995,406048064,0.702158,0.709103,0.013756
Baseline,181,1,15,2476301,1216016,152504,406082848,0.644061,0.670663,0.058013
Baseline,181,1,20,1987937,1869997,51075,406018656,0.508553,0.515285,0.025049
Baseline,181,1,25,1849276,2017168,15216,406045984,0.476414,0.478289,0.008161
Baseline,181,1,30,1617592,2105003,146796,406058016,0.418048,0.434533,0.083199
Baseline,181,1,35,1196266,2534390,145107,406052000,0.308653,0.320658,0.108178
Baseline,181,1,40,1074452,2495674,156628,406201152,0.288308,0.300956,0.127228
Baseline,181,1,45,965618,2683272,226271,406052448,0.249181,0.264633,0.189842
Baseline,181,1,50,889380,2511238,277572,406249440,0.241798,0.261535,0.237861
Baseline,181,1,55,854434,1707963,264604,407100800,0.302240,0.333451,0.236457
Baseline,181,1,60,797944,1780028,249460,407100224,0.282215,0.309524,0.238170
Baseline,181,4,5,207182,139760,1425,25272124,0.594723,0.597166,0.006831
Baseline,181,4,10,187159,140361,2372,25290588,0.567334,0.571443,0.012515
Baseline,181,4,15,165285,152931,10150,25292106,0.503356,0.519411,0.057856
Baseline,181,4,20,131788,196528,4323,25287852,0.396189,0.401406,0.031761
Baseline,181,4,25,119814,208831,1757,25290082,0.362631,0.364570,0.014452
Baseline,181,4,30,103832,216014,9256,25291382,0.315501,0.324631,0.081848
Baseline,181,4,35,78030,242178,9127,25291150,0.236932,0.243685,0.104719
Baseline,181,4,40,68569,242770,10329,25298816,0.213167,0.220239,0.130916
Baseline,181,4,45,60989,255442,14160,25289900,0.184485,0.192740,0.188426
Baseline,181,4,50,57128,243420,17551,25302386,0.179592,0.190079,0.235019
Baseline,181,4,55,54698,193672,16536,25355584,0.206481,0.220228,0.232136
Baseline,181,4,60,51888,197598,15798,25355196,0.195594,0.207980,0.233401
Baseline,181,16,5,22675,26736,134,1551735,0.457665,0.458906,0.005875
Baseline,181,16,10,17669,30777,183,1552651,0.363343,0.364715,0.010251
Baseline,181,16,15,13950,34024,742,1552564,0.286354,0.290783,0.050504
Baseline,181,16,20,10742,37722,457,1552359,0.219579,0.221649,0.040807
Baseline,181,16,25,8694,39884,176,1552526,0.178324,0.178970,0.019842
Baseline,181,16,30,6914,41062,575,1552729,0.142407,0.144114,0.076779
Baseline,181,16,35,5362,42563,555,1552800,0.110602,0.111883,0.093798
Baseline,181,16,40,4444,43148,727,1552961,0.091972,0.093377,0.140592
Baseline,181,16,45,4044,43912,906,1552418,0.082764,0.084327,0.183030
Baseline,181,16,50,3797,43098,1107,1553278,0.079101,0.080968,0.225734
Baseline,181,16,55,3812,39903,1049,1556516,0.085158,0.087201,0.215799
Baseline,181,16,60,3499,40257,955,1556569,0.078258,0.079966,0.214414
Baseline,219,1,5,1912446,1167302,324,406847680,0.620910,0.620975,0.000169
Baseline,219,1,10,1653766,1080954,2784,407190496,0.604115,0.604730,0.001681
Baseline,219,1,15,1567932,1021003,936,407337888,0.605409,0.605628,0.000597
Baseline,219,1,20,1492391,1253819,198,407181152,0.543397,0.543437,0.000133
Baseline,219,1,25,1157382,1592306,0,407178048,0.420914,0.420914,0.000000
Baseline,219,1,30,965754,1638998,132650,407190432,0.352799,0.370766,0.120766
Baseline,219,1,35,465,2609929,0,407317344,0.000178,0.000178,0.000000
Baseline,219,1,40,0,2443579,0,407484256,0.000000,0.000000,0.000000
Baseline,219,1,45,0,2518555,0,407409216,0.000000,0.000000,0.000000
Baseline,219,1,50,0,2268521,0,407659104,0.000000,0.000000,0.000000
Baseline,219,1,55,0,1422125,0,408505664,0.000000,0.000000,0.000000
Baseline,219,1,60,0,1436030,0,408491776,0.000000,0.000000,0.000000
Baseline,219,4,5,123961,90158,32,25406328,0.578849,0.578935,0.000258
Baseline,219,4,10,107335,85891,227,25427032,0.554838,0.555489,0.002110
Baseline,219,4,15,101295,82814,125,25436254,0.549817,0.550190,0.001232
Baseline,219,4,20,95959,98018,51,25426468,0.494563,0.494693,0.000531
Baseline,219,4,25,74059,120234,0,25426180,0.381172,0.381172,0.000000
Baseline,219,4,30,61189,124084,8349,25426860,0.316023,0.330264,0.120064
Baseline,219,4,35,63,185987,0,25434442,0.000339,0.000339,0.000000
Baseline,219,4,40,0,176076,0,25444400,0.000000,0.000000,0.000000
Baseline,219,4,45,0,180381,0,25440098,0.000000,0.000000,0.000000
Baseline,219,4,50,0,164711,0,25455774,0.000000,0.000000,0.000000
Baseline,219,4,55,0,112326,0,25508156,0.000000,0.000000,0.000000
Baseline,219,4,60,0,113378,0,25507096,0.000000,0.000000,0.000000
Baseline,219,16,5,8814,13013,7,1579446,0.403682,0.403812,0.000794
Baseline,219,16,10,7249,13390,19,1580622,0.350905,0.351228,0.002614
Baseline,219,16,15,6634,13426,17,1581203,0.330428,0.330708,0.002556
Baseline,219,16,20,6383,14338,14,1580545,0.307837,0.308045,0.002189
Baseline,219,16,25,4930,15770,0,1580580,0.238164,0.238164,0.000000
Baseline,219,16,30,4282,15907,569,1580522,0.206282,0.212096,0.117295
Baseline,219,16,35,12,20403,0,1580865,0.000588,0.000588,0.000000
Baseline,219,16,40,0,19820,0,1581460,0.000000,0.000000,0.000000
Baseline,219,16,45,0,20051,0,1581229,0.000000,0.000000,0.000000
Baseline,219,16,50,0,19181,0,1582099,0.000000,0.000000,0.000000
Baseline,219,16,55,0,15992,0,1585288,0.000000,0.000000,0.000000
Baseline,219,16,60,0,16053,0,1585227,0.000000,0.000000,0.000000
Enhanced,16,1,5,87431688,3747075,7194066,311554784,0.888779,0.958904,0.076027
Enhanced,16,1,10,86234432,5036359,9694631,308962176,0.854099,0.944820,0.101060
Enhanced,16,1,15,84963472,6561787,12227578,306174784,0.818903,0.928306,0.125810
Enhanced,16,1,20,83950120,8106017,14320100,303551520,0.789181,0.911945,0.145722
Enhanced,16,1,25,82934696,9521352,16192086,301279488,0.763333,0.897018,0.163347
Enhanced,16,1,30,81533424,11149894,17882884,299361408,0.737417,0.879699,0.179879
Enhanced,16,1,35,79958336,12993843,19155552,297820000,0.713228,0.860209,0.193268
Enhanced,16,1,40,77986144,15083569,20491562,296366400,0.686732,0.837933,0.208083
Enhanced,16,1,45,75714960,17744908,21841336,294626688,0.656671,0.810133,0.223884
Enhanced,16,1,50,73995872,19788016,22286876,293857024,0.637507,0.789004,0.231473
Enhanced,16,1,55,72119048,21048590,22849214,293910912,0.621626,0.774078,0.240598
Enhanced,16,1,60,70247888,23126848,23262634,293290400,0.602276,0.752322,0.248770
Enhanced,16,4,5,6295690,385842,317248,18621696,0.899541,0.942252,0.047974
Enhanced,16,4,10,6168248,522858,435929,18493448,0.865472,0.921858,0.066008
Enhanced,16,4,15,6052515,655346,569749,18342872,0.831662,0.902302,0.086035
Enhanced,16,4,20,5962401,779407,683950,18194720,0.802935,0.884392,0.102906
Enhanced,16,4,25,5880755,887531,795105,18057084,0.777529,0.868869,0.119102
Enhanced,16,4,30,5779528,1004382,905055,17931516,0.751665,0.851946,0.135394
Enhanced,16,4,35,5669108,1131024,997469,17822880,0.727032,0.833676,0.149622
Enhanced,16,4,40,5537744,1272178,1096678,17713880,0.700395,0.813188,0.165301
Enhanced,16,4,45,5391041,1441721,1200454,17587260,0.671094,0.788999,0.182122
Enhanced,16,4,50,5279225,1576195,1245713,17519352,0.651665,0.770080,0.190916
Enhanced,16,4,55,5155702,1662995,1298145,17503636,0.635186,0.756112,0.201143
Enhanced,16,4,60,5032473,1799459,1337543,17451004,0.616009,0.736611,0.209975
Enhanced,16,16,5,551025,44523,12936,992796,0.905570,0.925240,0.022938
Enhanced,16,16,10,534129,62974,16046,988131,0.871124,0.894534,0.029165
Enhanced,16,16,15,519056,79315,20043,982866,0.839334,0.867448,0.037179
Enhanced,16,16,20,506987,93583,23467,977243,0.812431,0.844176,0.044239
Enhanced,16,16,25,497021,105009,27459,971791,0.789563,0.825575,0.052355
Enhanced,16,16,30,487581,115736,32242,965721,0.767169,0.808167,0.062025
Enhanced,16,16,35,478154,126081,37259,959786,0.745376,0.791338,0.072290
Enhanced,16,16,40,468329,136671,42806,953474,0.722946,0.774098,0.083747
Enhanced,16,16,45,457993,148519,49116,945652,0.698556,0.755126,0.096855
Enhanced,16,16,50,450195,158287,52177,940621,0.681433,0.739866,0.103861
Enhanced,16,16,55,441334,165019,56382,938545,0.665928,0.727850,0.113281
Enhanced,16,16,60,432494,174494,59772,934520,0.648650,0.712525,0.121422
Enhanced,74,1,5,38674160,4551265,2692023,364010112,0.842254,0.894709,0.065078
Enhanced,74,1,10,37368208,5723577,3986340,362849696,0.793749,0.867177,0.096394
Enhanced,74,1,15,36644184,6470441,5776080,361036992,0.749512,0.849925,0.136163
Enhanced,74,1,20,36142456,7369706,7205218,359210176,0.712625,0.830629,0.166219
Enhanced,74,1,25,35503004,8176648,8468438,357779712,0.680811,0.812804,0.192589
Enhanced,74,1,30,34605248,9133277,9806879,356382272,0.646279,0.791185,0.220815
Enhanced,74,1,35,33749900,10176068,10905977,355095936,0.615515,0.768336,0.244223
Enhanced,74,1,40,32512492,11406313,12251772,353757120,0.578817,0.740286,0.273695
Enhanced,74,1,45,30983276,13201923,13701519,352040896,0.535240,0.701214,0.306626
Enhanced,74,1,50,29944152,14313327,14332618,351337536,0.511079,0.676590,0.323705
Enhanced,74,1,55,28817644,14752073,14881691,351476288,0.493019,0.661415,0.340547
Enhanced,74,1,60,27570004,16139228,15188823,351029472,0.468097,0.630759,0.355221
Enhanced,74,4,5,2957814,446471,109402,22106800,0.841798,0.868850,0.035668
Enhanced,74,4,10,2828615,570700,169184,22051972,0.792662,0.832113,0.056436
Enhanced,74,4,15,2754583,646087,257320,21962504,0.753032,0.810012,0.085434
Enhanced,74,4,20,2704461,722332,333870,21859812,0.719145,0.789210,0.109886
Enhanced,74,4,25,2653466,787429,405846,21773744,0.689796,0.771156,0.132659
Enhanced,74,4,30,2588621,857080,489027,21685748,0.657891,0.751261,0.158896
Enhanced,74,4,35,2526746,933315,560547,21599872,0.628449,0.730261,0.181566
Enhanced,74,4,40,2443439,1017027,650334,21509680,0.594395,0.706101,0.210207
Enhanced,74,4,45,2343426,1135405,750079,21391562,0.554144,0.673625,0.242469
Enhanced,74,4,50,2273442,1212808,798869,21335364,0.530543,0.652117,0.260022
Enhanced,74,4,55,2194229,1248875,845683,21331692,0.511620,0.637282,0.278193
Enhanced,74,4,60,2107703,1346174,875588,21291016,0.486828,0.610243,0.293497
Enhanced,74,16,5,299466,48298,4870,1248646,0.849226,0.861118,0.016002
Enhanced,74,16,10,281310,67467,6421,1246082,0.791981,0.806561,0.022316
Enhanced,74,16,15,267264,81876,8814,1243326,0.746643,0.765492,0.031926
Enhanced,74,16,20,257945,93186,10972,1239177,0.712353,0.734612,0.040801
Enhanced,74,16,25,250530,101558,13550,1235642,0.685186,0.711555,0.051310
Enhanced,74,16,30,243750,108957,17431,1231142,0.658538,0.691084,0.066739
Enhanced,74,16,35,237745,116109,20783,1226643,0.634601,0.671873,0.080390
Enhanced,74,16,40,231131,122601,25763,1221785,0.609049,0.653407,0.100286
Enhanced,74,16,45,223878,131198,31886,1214318,0.578553,0.630507,0.124670
Enhanced,74,16,50,218705,137650,34912,1210013,0.558966,0.613728,0.137656
Enhanced,74,16,55,212619,140654,38466,1209541,0.542757,0.601855,0.153199
Enhanced,74,16,60,205841,148364,41032,1206043,0.520804,0.581135,0.166207
Enhanced,133,1,5,8075998,3241717,687760,397922304,0.672693,0.713571,0.078478
Enhanced,133,1,10,7537840,3504628,1181022,397704128,0.616668,0.682623,0.135456
Enhanced,133,1,15,7146428,3779415,1934676,397067232,0.555687,0.654085,0.213044
Enhanced,133,1,20,6865588,4246461,2482076,396333664,0.505041,0.617851,0.265529
Enhanced,133,1,25,6542881,4593633,2839924,395951136,0.468137,0.587516,0.302673
Enhanced,133,1,30,6075325,4945461,3290277,395616800,0.424519,0.551261,0.351315
Enhanced,133,1,35,5707160,5339094,3435835,395445728,0.394084,0.516660,0.375789
Enhanced,133,1,40,4948490,5982576,3753333,395243328,0.336990,0.452700,0.431327
Enhanced,133,1,45,3939907,7116515,4239013,394632256,0.257587,0.356346,0.518285
Enhanced,133,1,50,3384402,7481693,4044245,395017504,0.226984,0.311464,0.544412
Enhanced,133,1,55,2969633,7091833,3726205,396140032,0.215383,0.295149,0.556496
Enhanced,133,1,60,2525768,7576353,3237068,396588608,0.189349,0.250024,0.561714
Enhanced,133,4,5,712934,349389,32601,24525554,0.651126,0.671109,0.043728
Enhanced,133,4,10,650854,397365,57827,24514430,0.588451,0.620914,0.081598
Enhanced,133,4,15,615650,426690,100443,24477704,0.538729,0.590642,0.140265
Enhanced,133,4,20,586419,467692,131783,24434592,0.494495,0.556316,0.183490
Enhanced,133,4,25,557118,499470,155409,24408488,0.459669,0.527280,0.218110
Enhanced,133,4,30,519893,531689,186853,24382046,0.419798,0.494391,0.264385
Enhanced,133,4,35,487464,568192,201974,24362840,0.387605,0.461764,0.292955
Enhanced,133,4,40,430652,617896,228830,24343104,0.337137,0.410713,0.346984
Enhanced,133,4,45,357627,700061,267825,24294968,0.269803,0.338121,0.428210
Enhanced,133,4,50,311063,735852,262961,24310610,0.237475,0.297123,0.458101
Enhanced,133,4,55,272626,725807,249908,24372148,0.218391,0.273054,0.478262
Enhanced,133,4,60,229867,771637,223185,24395796,0.187694,0.229522,0.492626
Enhanced,133,16,5,101303,46794,2082,1451101,0.674548,0.684031,0.020138
Enhanced,133,16,10,89126,58517,3114,1450523,0.591190,0.603659,0.033760
Enhanced,133,16,15,82311,65295,4847,1448827,0.539911,0.557640,0.055612
Enhanced,133,16,20,76126,72697,5927,1446530,0.491929,0.511520,0.072234
Enhanced,133,16,25,71223,77719,6935,1445403,0.456918,0.478193,0.088731
Enhanced,133,16,30,66534,82699,8573,1443474,0.421619,0.445840,0.114144
Enhanced,133,16,35,62287,87416,9666,1441911,0.390835,0.416070,0.134338
Enhanced,133,16,40,56706,92154,11855,1440565,0.352836,0.380935,0.172912
Enhanced,133,16,45,50232,99071,14939,1437038,0.305841,0.336443,0.229228
Enhanced,133,16,50,44809,104564,15530,1436377,0.271729,0.299981,0.257379
Enhanced,133,16,55,40209,106535,15390,1439146,0.247999,0.274008,0.276804
Enhanced,133,16,60,34181,112879,14782,1439438,0.211200,0.232429,0.301901
Enhanced,160,1,5,4132983,1602444,196201,403996000,0.696770,0.720606,0.045321
Enhanced,160,1,10,3814443,1602900,296694,404213600,0.667557,0.704117,0.072168
Enhanced,160,1,15,3485537,1787394,536554,404118176,0.599973,0.661025,0.133402
Enhanced,160,1,20,3297848,2130530,624769,403874560,0.544815,0.607520,0.159274
Enhanced,160,1,25,3115420,2315006,605897,403891296,0.516112,0.573697,0.162818
Enhanced,160,1,30,2800444,2496727,704164,403926112,0.466637,0.528668,0.200925
Enhanced,160,1,35,2645423,2665617,540428,404076224,0.452096,0.498099,0.169634
Enhanced,160,1,40,2020700,3130956,916161,403859648,0.333019,0.392243,0.311952
Enhanced,160,1,45,1284676,3944332,1410754,403287904,0.193482,0.245683,0.523387
Enhanced,160,1,50,1071434,3921772,1408128,403526432,0.167377,0.214578,0.567894
Enhanced,160,1,55,1011541,3153703,1337999,404424544,0.183808,0.242853,0.569473
Enhanced,160,1,60,977487,3205935,1284141,404460128,0.178779,0.233657,0.567795
Enhanced,160,4,5,342429,182520,11925,25083602,0.637820,0.652309,0.033653
Enhanced,160,4,10,302951,203408,17911,25096214,0.577853,0.598293,0.055822
Enhanced,160,4,15,272515,224417,33967,25089580,0.513309,0.548395,0.110829
Enhanced,160,4,20,251978,254208,39740,25074568,0.461561,0.497797,0.136227
Enhanced,160,4,25,232355,273417,40292,25074408,0.425509,0.459407,0.147781
Enhanced,160,4,30,205497,291944,46950,25076076,0.377481,0.413108,0.185980
Enhanced,160,4,35,190250,308322,38111,25083812,0.354492,0.381590,0.166889
Enhanced,160,4,40,146143,343861,61381,25069100,0.265047,0.298249,0.295778
Enhanced,160,4,45,94627,400525,92723,25032610,0.160964,0.191107,0.494919
Enhanced,160,4,50,75738,405153,91878,25047714,0.132231,0.157495,0.548146
